               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.015156,           0.0048313,                   0,             0.94989,             0.96203,             0.96666,             0.84301,            0.015156,           0.0035604,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.016568,           0.0051166,                   0,             0.95942,             0.94937,             0.96939,             0.84598,            0.015748,           0.0036078,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.014848,           0.0047751,                   0,             0.96148,             0.94791,             0.96694,             0.84272,            0.015672,           0.0036112,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.01549,           0.0049246,                   0,             0.94549,             0.93671,             0.96508,              0.8355,            0.015896,            0.003744,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.015869,           0.0050245,                   0,             0.91154,             0.93671,             0.95686,             0.83415,            0.015702,           0.0038526,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.018157,           0.0053762,                   0,             0.91161,             0.93671,             0.95665,             0.83071,            0.015619,           0.0038922,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.014845,           0.0049031,                   0,             0.89192,             0.97468,             0.96371,             0.83202,            0.015727,           0.0035963,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.015141,           0.0049661,                   0,             0.90195,             0.97468,             0.95218,             0.83238,            0.015157,           0.0035985,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.016871,           0.0051542,                   0,             0.91244,             0.96203,             0.95142,             0.82853,            0.015306,           0.0036669,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.014496,           0.0051112,                   0,             0.94847,             0.93209,             0.95674,             0.82281,            0.015239,           0.0037031,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.015315,           0.0044192,                   0,             0.93537,             0.93671,             0.96393,             0.83716,            0.014638,           0.0037748,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015423,           0.0051909,                   0,             0.96646,             0.91139,             0.95758,             0.80398,            0.016347,           0.0039782,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.015466,           0.0050293,                   0,             0.97086,             0.91139,              0.9557,             0.82677,             0.01533,           0.0040598,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.015714,           0.0049162,                   0,             0.94406,             0.92405,             0.95709,             0.82216,            0.015386,           0.0040891,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.01476,           0.0048707,                   0,             0.93286,             0.94937,             0.96313,             0.83278,            0.014176,           0.0039901,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.01435,           0.0049194,                   0,             0.93377,             0.93671,             0.96436,             0.82704,            0.014509,           0.0041424,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.014073,           0.0050852,                   0,             0.93604,             0.93671,             0.95483,             0.83498,             0.01539,           0.0045002,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.015569,           0.0047495,                   0,             0.95866,             0.92405,             0.94972,              0.8301,            0.015466,           0.0043592,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.016062,           0.0050059,                   0,             0.98128,             0.89873,             0.94774,             0.82065,             0.01468,           0.0041342,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.01445,           0.0047412,                   0,             0.94871,             0.93661,             0.95226,             0.84599,             0.01503,           0.0040353,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.013766,           0.0049664,                   0,             0.93679,             0.96203,             0.96413,             0.84844,            0.014374,            0.003567,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.013279,           0.0044478,                   0,             0.93506,             0.96203,             0.95328,             0.83216,            0.014766,           0.0035511,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.014577,           0.0045564,                   0,             0.91347,             0.94937,             0.95228,             0.82911,            0.015269,           0.0036402,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.015317,           0.0051724,                   0,             0.92367,             0.93671,             0.96153,             0.84437,            0.014674,           0.0036796,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.013232,           0.0051461,                   0,             0.93659,             0.93478,             0.96125,             0.85032,            0.014418,           0.0038572,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.014015,           0.0049146,                   0,             0.92569,             0.94615,             0.97092,             0.85011,            0.014296,           0.0037011,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.014641,           0.0049531,                   0,             0.88636,             0.98732,             0.96518,             0.83383,            0.014036,           0.0035054,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.014866,           0.0049534,                   0,             0.90525,             0.96757,             0.95699,             0.83872,             0.01481,           0.0034105,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.014113,           0.0051316,                   0,             0.93797,             0.97468,             0.96054,             0.85156,            0.014923,           0.0033361,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.013079,           0.0048481,                   0,             0.93959,             0.98448,             0.97201,             0.85425,            0.015664,           0.0032787,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.015888,           0.0048453,                   0,             0.93658,             0.94937,             0.97178,             0.86264,            0.014477,           0.0035927,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.012862,           0.0045807,                   0,             0.93784,             0.95494,             0.96329,             0.83812,            0.015404,           0.0036647,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.014042,           0.0047509,                   0,             0.93611,             0.94937,             0.95991,             0.84556,            0.015431,           0.0038305,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.013665,            0.004348,                   0,             0.93746,             0.94871,             0.95138,             0.83088,            0.015172,           0.0041214,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.012835,           0.0044629,                   0,             0.94428,             0.92405,              0.9557,             0.82677,            0.014815,           0.0040597,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.013778,           0.0047201,                   0,             0.93635,             0.93114,             0.95289,             0.83512,            0.015238,           0.0040465,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.014404,           0.0044285,                   0,             0.93602,             0.94937,             0.96326,             0.81633,            0.017066,           0.0038875,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.014313,           0.0046892,                   0,              0.9493,             0.94807,             0.96875,             0.84739,            0.016382,           0.0037829,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.013279,           0.0046051,                   0,              0.9487,             0.93642,             0.96182,             0.83793,            0.016255,           0.0038747,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.013877,           0.0052047,                   0,             0.94862,             0.94937,             0.96342,             0.84613,             0.01535,           0.0038176,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.012762,           0.0045854,                   0,              0.9486,             0.93455,             0.95829,             0.84124,            0.016018,           0.0038648,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014564,           0.0045871,                   0,             0.94864,             0.94937,             0.95887,             0.84487,            0.015651,           0.0038584,                   0,            0.005446,            0.005446,            0.005446
                 140,              0.0131,           0.0043866,                   0,             0.94657,             0.94937,             0.95189,             0.84686,            0.015379,           0.0039981,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.013796,           0.0042241,                   0,             0.94869,             0.93618,             0.95705,             0.84154,             0.01635,            0.003936,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.013519,           0.0045828,                   0,             0.94815,             0.93671,             0.95561,             0.85862,            0.015064,           0.0038898,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.01266,           0.0045343,                   0,             0.94872,             0.93668,             0.96625,             0.85281,            0.015329,           0.0037643,                   0,            0.005314,            0.005314,            0.005314
                 144,             0.01333,           0.0041669,                   0,             0.94184,             0.96203,             0.96358,             0.83203,            0.016444,           0.0038191,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.013993,           0.0050656,                   0,             0.94996,              0.9613,             0.96436,             0.84939,            0.015942,           0.0038099,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.012339,           0.0043119,                   0,              0.9164,             0.97128,             0.96744,              0.8611,            0.015961,           0.0036421,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.012666,           0.0040878,                   0,             0.92548,             0.96203,             0.96314,             0.86177,            0.015513,           0.0037318,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.010971,           0.0039897,                   0,             0.91546,             0.95959,             0.96328,             0.85285,             0.01489,           0.0040414,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.011418,           0.0044508,                   0,             0.91177,             0.94937,             0.96473,             0.86071,            0.014155,           0.0037695,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.012658,           0.0045161,                   0,             0.89909,             0.96203,             0.96647,             0.85538,            0.015114,           0.0036222,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013294,            0.004403,                   0,             0.91311,             0.94937,              0.9645,             0.86084,            0.014811,            0.003608,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.014044,           0.0047165,                   0,             0.93565,             0.92405,             0.95833,             0.85313,            0.014018,           0.0037763,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.013127,           0.0049818,                   0,             0.92586,             0.94844,             0.96593,             0.85256,            0.014853,           0.0036466,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013289,            0.004911,                   0,             0.93746,             0.96203,             0.95921,             0.84571,            0.014861,           0.0035484,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.013657,           0.0046221,                   0,             0.93735,             0.96203,             0.95132,              0.8348,            0.014564,           0.0035337,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.011469,           0.0045547,                   0,             0.93816,             0.96024,              0.9505,             0.82981,            0.014457,           0.0035262,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.011799,           0.0040876,                   0,             0.93652,             0.94937,             0.96381,             0.84496,            0.014168,           0.0033755,                   0,            0.004852,            0.004852,            0.004852
